,id_x,price,property_type,subproperty_type,region,province,locality,zip_code,latitude,longitude,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,kitchen_clusterized,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,fl_floodzone,state_building,state_building_clusterized,primary_energy_consumption_sqm,epc,heating_type,fl_double_glazing,cadastral_income,id_y,_merge
6,39273000,77000,APARTMENT,FLAT_STUDIO,Wallonia,Hainaut,Mons,7012,50.4480875,3.8930226,,99,,2,2,MISSING,MISSING,0,0,0,0,0,0,0,0,MISSING,MISSING,551,G,GAS,1,1,,left_only
26,22887000,79000,APARTMENT,APARTMENT,Wallonia,Hainaut,Charleroi,6032,50.3992946,4.4255255,1961,70,,,1,MISSING,MISSING,0,0,0,0,0,0,0,0,GOOD,Yes,,MISSING,MISSING,1,743,,left_only
79,72313000,79900,HOUSE,HOUSE,Wallonia,Hainaut,Charleroi,6020,,,,46,17,2,2,MISSING,MISSING,0,0,0,0,0,0,0,1,MISSING,MISSING,236,C,GAS,1,178,,left_only
102,11239000,80000,APARTMENT,TRIPLEX,Wallonia,Hainaut,Charleroi,6000,,,,120,,,2,MISSING,MISSING,0,0,0,0,0,0,0,1,MISSING,MISSING,,MISSING,MISSING,0,,,left_only
104,30304000,80000,HOUSE,BUNGALOW,Wallonia,Luxembourg,Marche-en-Famenne,6940,50.3434366,5.4248999,,74,0,4,2,MISSING,MISSING,0,0,1,,0,0,0,1,MISSING,MISSING,,MISSING,GAS,0,,,left_only
106,11603000,80000,HOUSE,CHALET,Wallonia,Luxembourg,Marche-en-Famenne,6940,50.3434366,5.4248999,,74,0,4,2,INSTALLED,Yes,0,0,1,,0,0,0,1,MISSING,MISSING,,MISSING,GAS,0,,,left_only
108,8889000,80000,HOUSE,FARMHOUSE,Wallonia,Namur,Dinant,5560,50.1664213,5.0886512,,,65,4,0,MISSING,MISSING,0,0,0,0,1,65,0,1,MISSING,MISSING,,MISSING,MISSING,0,,,left_only
125,75558000,80000,HOUSE,HOUSE,Wallonia,Hainaut,Mons,7340,,,,153,0,4,0,NOT_INSTALLED,No,0,0,0,0,0,0,0,1,MISSING,MISSING,1026,G,GAS,0,664,,left_only
127,67081000,80000,HOUSE,HOUSE,Wallonia,Hainaut,Mons,7380,50.4071465,3.6869172,,174,148,2,5,USA_SEMI_EQUIPPED,Yes,0,0,0,0,0,0,0,0,TO_RENOVATE,No,490,F,FUELOIL,0,,,left_only
132,57671000,80000,HOUSE,HOUSE,Wallonia,Hainaut,Soignies,7070,50.4745477,4.092182,,156,133,3,3,NOT_INSTALLED,No,0,0,0,0,0,0,0,0,TO_RENOVATE,No,525,G,MISSING,0,33,,left_only
145,67869000,80000,HOUSE,HOUSE,Wallonia,Liège,Liège,4870,50.5692728,5.6800476,,65,823,3,1,NOT_INSTALLED,No,0,1,1,20,1,770,0,1,TO_RENOVATE,No,600,G,MISSING,1,133,,left_only
187,51701000,85000,APARTMENT,APARTMENT,Wallonia,Hainaut,Charleroi,6001,50.3992691,4.4507653,,80,,,2,MISSING,MISSING,0,0,0,0,0,0,0,1,MISSING,MISSING,146,B,GAS,0,1398,,left_only
197,27844000,85000,APARTMENT,APARTMENT,Wallonia,Hainaut,Soignies,7100,50.4775973,4.2114665,1977,,,,1,MISSING,MISSING,0,0,0,0,0,0,0,1,GOOD,Yes,230,C,MISSING,1,733,,left_only
223,59371000,85000,HOUSE,HOUSE,Wallonia,Hainaut,Ath,7800,50.6293307,3.7784255,,,0,,3,MISSING,MISSING,0,0,0,0,0,0,0,1,MISSING,MISSING,300,D,MISSING,0,376,,left_only
248,66699000,85000,HOUSE,HOUSE,Wallonia,Hainaut,Mons,7012,,,,153,420,2,3,MISSING,MISSING,0,1,0,0,0,0,0,1,TO_RENOVATE,No,,MISSING,MISSING,1,450,,left_only
260,52294000,85000,HOUSE,HOUSE,Wallonia,Hainaut,Mouscron,7700,50.741093,3.2154034,,,220,2,4,MISSING,MISSING,0,0,0,0,1,,0,1,TO_RENOVATE,No,762,G,GAS,0,245,,left_only
272,15841000,85000,HOUSE,HOUSE,Wallonia,Hainaut,Thuin,7130,,,,137,100,3,4,SEMI_EQUIPPED,Yes,0,1,1,,0,0,0,1,TO_BE_DONE_UP,No,539,G,GAS,1,463,,left_only
291,54858000,85000,HOUSE,HOUSE,Wallonia,Namur,Dinant,5580,50.157145,5.2240464,,83,62,2,2,MISSING,MISSING,0,0,0,0,0,0,0,0,TO_RENOVATE,No,486,F,WOOD,1,359,,left_only
304,5051000,86000,HOUSE,HOUSE,Wallonia,Hainaut,Soignies,7110,50.467018,4.1261523,,,0,,3,MISSING,MISSING,0,0,0,0,0,0,0,1,MISSING,MISSING,599,G,MISSING,0,267,,left_only
